524 | Hamilton, Alwyn
525 | Hamlet Machine
526 | Hand, Elizabeth
527 | Hans, Sarah
528 | Hansen, F. K.
529 | Hansen, Tom
530 | Hanson, Victor Davis
531 | Hardinge, Frances
532 | Harkaway, Nick
533 | Harkness, Deborah
534 | Harmon, Amy
535 | Harper, Helen
536 | Harris, Charlaine
537 | Harris, Thomas
538 | Harrison, Kim
539 | Harrison, M. John
540 | Hart, Lorelei M. / Richards, Kate / Coming, Ever
541 | Hartman, Rachel
542 | Hawk, Jordan L.
543 | Hawkins, Paula
544 | Hawkins, Scott
545 | Hayden, C. M. / Hayden, Cameron
546 | Haydon, Elizabeth
547 | Hayes, Drew
548 | Hayes, Rob J.
549 | Headley, Maria Dahvana
550 | Hearn, Lian
551 | Hearne, Kevin
552 | Heart, Ophelia
553 | Heilig, Heidi
554 | Heinlein, Robert A.
555 | Heinsoo, Rob
556 | Helmer, Der-shing
557 | Henderson, Randy
558 | Henderson, Zenna
559 | Hendrix, Grady
560 | Henel, Lukasz
561 | Hennen, Bernhard
562 | Henry, Christina
563 | Heppe, Matt
564 | Herbert, Frank
565 | Herbison, J. S.
566 | Herman, Brett
567 | Herrera, Yuri
568 | Heuvelt, Thomas Olde
569 | Hickman, Laura
570 | Hickman, Tracy
571 | Higgins, C. A.
572 | Hill, Joe
573 | Hill, Joseph Allen
574 | Hill, Susan
575 | Hines, Jim C.
576 | Hobb, Robin / Lindholm, Megan
577 | Hockensmith, Steve
578 | Hocking, Amanda
579 | Hodder, Mark
580 | Hodge, Rosamund
581 | Hodgell, P. C.
582 | Hodges, T. Ellery
583 | Hoffman, Nina Kiriki
584 | Hoffmann, E. T. A.
585 | Hogan, Chuck
586 | Hogarth, M. C. A.
587 | Holdstock, Robert
588 | Holland, Sara
589 | Hollinger, Veronica
590 | Hollins, Jon
591 | Holmberg, Charlie N.
592 | Holt, Erika
593 | Hood, Daniel
594 | Hook, Jason
595 | Hopkinson, Nalo
596 | Hoshino, Katsura
597 | Hoskin, Rik
598 | Hossain, Saad Z.
599 | Hough, Jason M.
600 | Hounsom, Lucy
601 | Howard, Jonathan L.
602 | Howard, Kat
603 | Howard, Robert E.
604 | Howe, John
605 | Howey, Hugh
606 | Huff, Tanya
607 | Hughart, Barry
608 | Hughes, Laura M.
609 | Hughes, Matthew
